Date,Close,High,Low,Open,Volume,Return,High_Low,Open_Close_Diff,Abs_Return
2015-08-03,10.14,13.31,8.23,13.06,19291100,,5.08,2.92,
2015-08-10,10.04,10.73,9.5,10.73,2091900,-0.01,1.23,0.69,0.01
2015-08-17,9.9,11.03,9.81,10.04,1913000,-0.014,1.22,0.14,0.014
2015-08-24,11.62,11.85,8.5,9.39,3697200,0.174,3.35,-2.23,0.174
2015-08-31,11.56,12.24,10.5,11.86,2264400,-0.005,1.74,0.3,0.005
2015-09-07,11.5,12.0,10.91,12.0,1839700,-0.005,1.09,0.5,0.005
2015-09-14,11.58,11.9,10.94,11.41,2733000,0.007,0.96,-0.17,0.007
2015-09-21,11.13,11.9,10.74,11.69,1638800,-0.039,1.16,0.56,0.039
2015-09-28,10.51,11.34,9.53,11.04,5865800,-0.056,1.81,0.53,0.056
2015-10-05,11.26,11.6,10.51,10.71,1397100,0.071,1.09,-0.55,0.071
2015-10-12,10.34,11.31,10.31,11.31,921000,-0.082,1.0,0.97,0.082
2015-10-19,9.08,10.34,8.52,10.28,2159000,-0.122,1.82,1.2,0.122
2015-10-26,7.41,9.435,7.0,9.03,2866600,-0.184,2.435,1.62,0.184
2015-11-02,7.82,8.11,7.11,7.37,2810400,0.055,1.0,-0.45,0.055
2015-11-09,7.31,8.29,6.36,8.29,2624600,-0.065,1.93,0.98,0.065
2015-11-16,6.67,7.4,6.36,7.4,3003900,-0.088,1.04,0.73,0.088
2015-11-23,7.22,7.41,6.56,6.62,1782700,0.082,0.85,-0.6,0.082
2015-11-30,7.85,8.35,6.53,7.23,3007400,0.087,1.82,-0.62,0.087
2015-12-07,7.86,8.37,7.46,7.79,1978000,0.001,0.91,-0.07,0.001
2015-12-14,13.74,13.95,7.83,7.95,13149700,0.748,6.12,-5.79,0.748
2015-12-21,12.19,14.95,11.41,14.15,7147000,-0.113,3.54,1.96,0.113
2015-12-28,11.77,12.38,11.07,12.11,1900300,-0.034,1.31,0.34,0.034
2016-01-04,9.75,11.49,9.078,11.27,8305100,-0.172,2.412,1.52,0.172
2016-01-11,7.75,9.7,7.26,9.65,4032200,-0.205,2.44,1.9,0.205
2016-01-18,8.79,9.7,6.94,7.83,4662400,0.134,2.76,-0.96,0.134
2016-01-25,9.52,10.19,8.14,8.78,3818400,0.083,2.05,-0.74,0.083
2016-02-01,7.96,9.62,7.774,9.62,2866100,-0.164,1.846,1.66,0.164
2016-02-08,5.04,7.94,4.995,7.87,5986600,-0.367,2.945,2.83,0.367
2016-02-15,5.41,5.97,4.855,5.06,5225400,0.073,1.115,-0.35,0.073
2016-02-22,5.51,5.69,4.9,5.5,2937600,0.018,0.79,-0.01,0.018
2016-02-29,6.21,6.75,5.13,5.59,6211200,0.127,1.62,-0.62,0.127
2016-03-07,6.355,7.24,6.01,6.22,7959500,0.023,1.23,-0.135,0.023
2016-03-14,6.69,7.08,6.15,6.38,6482400,0.053,0.93,-0.31,0.053
2016-03-21,6.24,6.89,6.0,6.89,3249600,-0.067,0.89,0.65,0.067
2016-03-28,6.44,6.6,6.21,6.31,3678400,0.032,0.39,-0.13,0.032
2016-04-04,6.75,7.18,6.19,6.47,4351900,0.048,0.99,-0.28,0.048
2016-04-11,7.04,7.367,6.65,6.69,2460100,0.043,0.717,-0.35,0.043
2016-04-18,7.91,8.04,6.87,6.99,5002900,0.124,1.17,-0.92,0.124
2016-04-25,7.88,8.45,7.4,7.9,2770100,-0.004,1.05,0.02,0.004
2016-05-02,7.5,8.08,7.19,7.83,4508400,-0.048,0.89,0.33,0.048
2016-05-09,6.61,7.55,6.09,7.52,6715100,-0.119,1.46,0.91,0.119
2016-05-16,6.11,6.46,5.8,6.34,9986700,-0.076,0.66,0.23,0.076
2016-05-23,6.41,6.68,6.0,6.06,4188600,0.049,0.68,-0.35,0.049
2016-05-30,6.07,6.6,6.02,6.37,2684500,-0.053,0.58,0.3,0.053
2016-06-06,6.3,6.59,6.1,6.1,3573200,0.038,0.49,-0.2,0.038
2016-06-13,6.02,6.41,5.83,6.26,4595200,-0.044,0.58,0.24,0.044
2016-06-20,5.59,6.38,5.27,6.0,9382600,-0.071,1.11,0.41,0.071
2016-06-27,5.44,5.95,5.11,5.53,5767900,-0.027,0.84,0.09,0.027
2016-07-04,5.08,5.435,4.94,5.4,3025800,-0.066,0.495,0.32,0.066
2016-07-11,5.07,5.29,4.9,5.11,3907600,-0.002,0.39,0.04,0.002
2016-07-18,5.13,5.32,4.99,5.08,2689100,0.012,0.33,-0.05,0.012
2016-07-25,5.18,5.275,5.0,5.14,3487300,0.01,0.275,-0.04,0.01
2016-08-01,5.19,5.205,4.9,5.18,4299200,0.002,0.305,-0.01,0.002
2016-08-08,6.23,6.9,5.15,5.23,11891000,0.2,1.75,-1.0,0.2
2016-08-15,5.98,6.28,5.83,6.21,6717000,-0.04,0.45,0.23,0.04
2016-08-22,5.95,6.18,5.86,5.93,3345900,-0.005,0.32,-0.02,0.005
2016-08-29,6.12,6.18,5.91,5.97,2908000,0.029,0.27,-0.15,0.029
2016-09-05,6.06,6.3,5.975,6.11,3574700,-0.01,0.325,0.05,0.01
2016-09-12,5.38,6.2,5.25,6.02,7786600,-0.112,0.95,0.64,0.112
2016-09-19,5.92,5.95,5.281,5.38,4608400,0.1,0.669,-0.54,0.1
2016-09-26,6.3,6.35,5.865,5.92,5717000,0.064,0.485,-0.38,0.064
2016-10-03,6.49,6.75,5.9,6.31,8424400,0.03,0.85,-0.18,0.03
2016-10-10,6.38,7.34,6.36,6.55,9601600,-0.017,0.98,0.17,0.017
2016-10-17,6.27,6.783,6.19,6.36,5683300,-0.017,0.593,0.09,0.017
2016-10-24,5.18,6.341,5.12,6.29,6729800,-0.174,1.221,1.11,0.174
2016-10-31,4.71,5.3,4.57,5.18,8902000,-0.091,0.73,0.47,0.091
2016-11-07,5.11,5.5,4.15,4.93,11017100,0.085,1.35,-0.18,0.085
2016-11-14,4.98,5.19,4.71,5.12,6902900,-0.025,0.48,0.14,0.025
2016-11-21,5.34,5.42,4.76,5.06,5237700,0.072,0.66,-0.28,0.072
2016-11-28,5.09,5.6,4.89,5.41,6471100,-0.047,0.71,0.32,0.047
2016-12-05,5.85,5.86,5.08,5.1,6840700,0.149,0.78,-0.75,0.149
2016-12-12,5.59,5.95,5.17,5.87,6299000,-0.044,0.78,0.28,0.044
2016-12-19,5.23,5.89,5.22,5.58,4120200,-0.064,0.67,0.35,0.064
2016-12-26,5.31,5.68,5.205,5.23,3785200,0.015,0.475,-0.08,0.015
2017-01-02,5.8,5.88,5.36,5.39,3911300,0.092,0.52,-0.41,0.092
2017-01-09,6.25,6.5,5.62,5.77,6301100,0.078,0.88,-0.48,0.078
2017-01-16,5.88,6.36,5.75,6.22,3348000,-0.059,0.61,0.34,0.059
2017-01-23,5.55,5.88,5.5,5.88,4093200,-0.056,0.38,0.33,0.056
