Date,Close,High,Low,Open,Volume,Return,High_Low,Open_Close_Diff,Abs_Return
2015-01-01,56.226,57.67,55.172,57.174,58984200,,2.498,0.948,
2015-01-08,55.618,57.502,54.081,56.554,85893300,-0.011,3.421,0.936,0.011
2015-01-15,56.938,57.013,54.856,56.046,67510100,0.024,2.157,-0.892,0.024
2015-01-22,54.509,57.62,54.428,57.211,69069000,-0.043,3.192,2.702,0.043
2015-01-29,56.684,57.224,53.319,54.676,107202300,0.04,3.905,-2.008,0.04
2015-02-05,56.151,57.354,55.649,57.261,61694400,-0.009,1.704,1.109,0.009
2015-02-12,56.83,58.354,56.443,57.111,57840600,0.012,1.911,0.281,0.012
2015-02-19,55.95,56.462,55.313,55.975,67998700,-0.015,1.149,0.025,0.015
2015-02-26,54.438,55.75,54.282,55.656,67829700,-0.027,1.467,1.218,0.027
2015-03-05,52.465,54.445,52.453,54.37,73302100,-0.036,1.992,1.905,0.036
2015-03-12,53.745,53.933,51.628,52.721,72834400,0.024,2.304,-1.024,0.024
2015-03-19,52.99,53.564,52.659,53.196,88381700,-0.014,0.905,0.206,0.014
2015-03-26,52.74,53.702,52.034,53.264,69509500,-0.005,1.667,0.525,0.005
2015-04-02,52.49,53.808,52.359,52.509,50307000,-0.005,1.449,0.019,0.005
2015-04-09,55.0,55.281,52.334,52.453,67561300,0.048,2.947,-2.548,0.048
2015-04-16,54.613,55.05,53.801,54.876,54358600,-0.007,1.249,0.262,0.007
2015-04-23,54.869,55.188,54.114,54.551,50974300,0.005,1.074,-0.318,0.005
2015-04-30,55.069,56.256,54.463,55.369,59717000,0.004,1.792,0.3,0.004
2015-05-07,54.051,55.619,53.951,54.95,51798900,-0.018,1.667,0.899,0.018
2015-05-14,54.857,55.166,54.278,54.731,40662600,0.015,0.888,-0.126,0.015
2015-05-21,53.585,55.052,53.371,54.952,38023100,-0.023,1.681,1.366,0.023
2015-05-28,53.485,54.045,53.39,53.585,49255500,-0.002,0.655,0.101,0.002
2015-06-04,53.648,54.127,52.748,53.327,54493000,0.003,1.379,-0.321,0.003
2015-06-11,53.346,53.957,52.377,53.705,43860800,-0.006,1.58,0.359,0.006
2015-06-18,53.315,54.121,53.258,53.39,57866500,-0.001,0.863,0.076,0.001
2015-06-25,51.86,53.453,51.697,53.422,69532100,-0.027,1.757,1.561,0.027
2015-07-02,51.608,52.433,51.306,52.125,46580900,-0.005,1.127,0.516,0.005
2015-07-09,52.106,52.521,51.363,52.175,47235300,0.01,1.158,0.069,0.01
2015-07-16,51.495,52.559,51.268,52.37,55239300,-0.012,1.291,0.875,0.012
2015-07-23,52.345,52.383,49.72,51.457,74071800,0.017,2.663,-0.888,0.017
2015-07-30,48.586,52.458,48.416,52.37,88559100,-0.072,4.042,3.784,0.072
2015-08-06,49.606,49.657,48.057,48.442,71047600,0.021,1.599,-1.165,0.021
2015-08-13,48.444,50.388,48.253,49.772,58474200,-0.023,2.135,1.328,0.023
2015-08-20,46.073,48.412,42.292,48.297,143676900,-0.049,6.12,2.224,0.049
